attacked_fraction,false_price_eur_per_kwh,attacked_evs,attacked_evs_connected_at_target,unique_attacked_evs_selected,unique_attacked_evs_rescheduled,unique_attacked_evs_moved_into_target,total_attack_accepted_changes,total_attacked_accepted_changes,total_moved_into_target_changes,baseline_target_demand_mw,maximum_target_demand_mw,maximum_target_increase_mw,maximum_target_increase_percent,attack_end_target_demand_mw,attack_end_target_increase_mw,attack_end_target_increase_percent,baseline_target_price_eur_per_kwh,maximum_target_legitimate_price_eur_per_kwh,attack_end_target_legitimate_price_eur_per_kwh,baseline_daily_peak_mw,maximum_daily_peak_mw,attack_end_daily_peak_mw,baseline_daily_generation_cost_eur,maximum_attack_daily_generation_cost_eur,maximum_generation_cost_increase_eur,attack_end_generation_cost_eur,attack_end_generation_cost_increase_eur,recovery_converged,recovery_iterations,recovered_target_demand_mw,final_distance_from_baseline_mw,recovered_generation_cost_eur,recovered_generation_cost_difference_eur
0.25,0.0,750,390,653,339,339,339,339,339,30.0,31.765879583783914,1.7658795837839136,5.886265279279712,31.765879583783914,1.7658795837839136,5.886265279279712,0.399999992,0.4198014524821241,0.4198014524821241,30.0,31.765879583783914,31.765879583783914,67859.02412259059,68197.6473930787,338.6232704881113,68197.6473930787,338.6232704881113,True,44,30.0108,0.23006174271446334,67860.07253737176,1.048414781165775
0.25,0.05,750,390,653,339,339,339,339,339,30.0,31.765879583783914,1.7658795837839136,5.886265279279712,31.765879583783914,1.7658795837839136,5.886265279279712,0.399999992,0.4198014524821241,0.4198014524821241,30.0,31.765879583783914,31.765879583783914,67859.02412259059,68197.6473930787,338.6232704881113,68197.6473930787,338.6232704881113,True,44,30.0108,0.23006174271446334,67860.07253737176,1.048414781165775
0.25,0.1,750,390,653,339,339,339,339,339,30.0,31.765879583783914,1.7658795837839136,5.886265279279712,31.765879583783914,1.7658795837839136,5.886265279279712,0.399999992,0.4198014524821241,0.4198014524821241,30.0,31.765879583783914,31.765879583783914,67859.02412259059,68197.6473930787,338.6232704881113,68197.6473930787,338.6232704881113,True,44,30.0108,0.23006174271446334,67860.07253737176,1.048414781165775
0.25,0.2,750,390,653,132,132,132,132,132,30.0,31.014775225393908,1.0147752253939082,3.3825840846463606,31.014775225393908,1.0147752253939082,3.3825840846463606,0.399999992,0.4115734078021429,0.4115734078021429,30.0,31.014775225393908,31.014775225393908,67859.02412259059,68048.3238470166,189.2997244260041,68048.3238470166,189.2997244260041,True,42,30.0,0.23030948810589003,67858.13449426695,-0.8896283236390445
0.25,0.3,750,390,653,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
0.5,0.0,1500,746,1312,654,654,654,654,654,30.0,33.41523988377003,3.4152398837700275,11.384132945900092,33.41523988377003,3.4152398837700275,11.384132945900092,0.399999992,0.4381590945941398,0.4381590945941398,30.0,33.41523988377003,33.41523988377003,67859.02412259059,68554.09111119513,695.0669886045362,68554.09111119513,695.0669886045362,True,48,30.014399999999995,0.22989611199559867,67860.71350926225,1.6893866716563934
0.5,0.05,1500,746,1312,654,654,654,654,654,30.0,33.41523988377003,3.4152398837700275,11.384132945900092,33.41523988377003,3.4152398837700275,11.384132945900092,0.399999992,0.4381590945941398,0.4381590945941398,30.0,33.41523988377003,33.41523988377003,67859.02412259059,68554.09111119513,695.0669886045362,68554.09111119513,695.0669886045362,True,48,30.014399999999995,0.22989611199559867,67860.71350926225,1.6893866716563934
0.5,0.1,1500,746,1312,654,654,654,654,654,30.0,33.41523988377003,3.4152398837700275,11.384132945900092,33.41523988377003,3.4152398837700275,11.384132945900092,0.399999992,0.4381590945941398,0.4381590945941398,30.0,33.41523988377003,33.41523988377003,67859.02412259059,68554.09111119513,695.0669886045362,68554.09111119513,695.0669886045362,True,48,30.014399999999995,0.22989611199559867,67860.71350926225,1.6893866716563934
0.5,0.2,1500,746,1312,250,250,250,250,250,30.0,31.94141493629098,1.941414936290979,6.47138312096993,31.94141493629098,1.941414936290979,6.47138312096993,0.399999992,0.42187320274080276,0.42187320274080276,30.0,31.94141493629098,31.94141493629098,67859.02412259059,68234.84325270123,375.8191301106417,68234.84325270123,375.8191301106417,True,46,30.0,0.23445472430482717,67858.12898819137,-0.895134399223025
0.5,0.3,1500,746,1312,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
0.75,0.0,2250,1120,1964,987,987,987,987,987,30.0,35.160152996502504,5.160152996502504,17.200509988341683,35.160152996502504,5.160152996502504,17.200509988341683,0.399999992,0.4573943691354262,0.4573943691354262,30.0,35.160152996502504,35.160152996502504,67859.02412259059,68972.55790531215,1113.5337827215553,68972.55790531215,1113.5337827215553,True,51,30.018,0.23599020300508222,67861.35768638737,2.3335637967829825
0.75,0.05,2250,1120,1964,987,987,987,987,987,30.0,35.160152996502504,5.160152996502504,17.200509988341683,35.160152996502504,5.160152996502504,17.200509988341683,0.399999992,0.4573943691354262,0.4573943691354262,30.0,35.160152996502504,35.160152996502504,67859.02412259059,68972.55790531215,1113.5337827215553,68972.55790531215,1113.5337827215553,True,51,30.018,0.23599020300508222,67861.35768638737,2.3335637967829825
0.75,0.1,2250,1120,1964,987,987,987,987,987,30.0,35.160152996502504,5.160152996502504,17.200509988341683,35.160152996502504,5.160152996502504,17.200509988341683,0.399999992,0.4573943691354262,0.4573943691354262,30.0,35.160152996502504,35.160152996502504,67859.02412259059,68972.55790531215,1113.5337827215553,68972.55790531215,1113.5337827215553,True,51,30.018,0.23599020300508222,67861.35768638737,2.3335637967829825
0.75,0.2,2250,1120,1964,377,377,377,377,377,30.0,32.93292109591638,2.9329210959163774,9.776403653054592,32.93292109591638,2.9329210959163774,9.776403653054592,0.399999992,0.4327710792238961,0.4327710792238961,30.0,32.93292109591638,32.93292109591638,67859.02412259059,68447.18768034488,588.1635577542911,68447.18768034488,588.1635577542911,True,46,30.0072,0.2365151254217892,67859.4288064764,0.40468388580484316
0.75,0.3,2250,1120,1964,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
1.0,0.0,3000,1500,2640,1328,1328,1328,1328,1328,30.0,36.97976228410384,6.979762284103842,23.265874280346143,36.97976228410384,6.979762284103842,23.265874280346143,0.399999992,0.4776844941522723,0.4776844941522723,30.0,36.97976228410384,36.97976228410384,67859.02412259059,69453.94746414147,1594.9233415508788,69453.94746414147,1594.9233415508788,True,53,30.025199999999998,0.24004569350539207,67862.63609380266,3.6119712120707845
1.0,0.05,3000,1500,2640,1328,1328,1328,1328,1328,30.0,36.97976228410384,6.979762284103842,23.265874280346143,36.97976228410384,6.979762284103842,23.265874280346143,0.399999992,0.4776844941522723,0.4776844941522723,30.0,36.97976228410384,36.97976228410384,67859.02412259059,69453.94746414147,1594.9233415508788,69453.94746414147,1594.9233415508788,True,53,30.025199999999998,0.24004569350539207,67862.63609380266,3.6119712120707845
1.0,0.1,3000,1500,2640,1328,1328,1328,1328,1328,30.0,36.97976228410384,6.979762284103842,23.265874280346143,36.97976228410384,6.979762284103842,23.265874280346143,0.399999992,0.4776844941522723,0.4776844941522723,30.0,36.97976228410384,36.97976228410384,67859.02412259059,69453.94746414147,1594.9233415508788,69453.94746414147,1594.9233415508788,True,53,30.025199999999998,0.24004569350539207,67862.63609380266,3.6119712120707845
1.0,0.2,3000,1500,2640,489,489,489,489,489,30.0,33.80741305556972,3.807413055569718,12.691376851899062,33.80741305556972,3.807413055569718,12.691376851899062,0.399999992,0.4433141673643284,0.4433141673643284,30.0,33.80741305556972,33.80741305556972,67859.02412259059,68645.74462379557,786.7205012049817,68645.74462379557,786.7205012049817,True,46,30.0144,0.23754870121294225,67860.72168121804,1.6975586274493253
1.0,0.3,3000,1500,2640,0,0,0,0,0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.399999992,0.399999992,0.399999992,30.0,30.0,30.0,67859.02412259059,67859.02412259059,0.0,67859.02412259059,0.0,True,5,30.0,0.0,67859.02412259059,0.0
